strain,date,country
EPI_ISL_419834,2020-02-23,Australia
EPI_ISL_455456,2020-03-12,Mexico
EPI_ISL_456117,2020-03-10,Colombia
EPI_ISL_424667,2020-03-04,Mexico
EPI_ISL_448209,2020-04-22,United Kingdom
EPI_ISL_444493,2020-03-13,Uruguay
EPI_ISL_457965,2020-04-03,Uruguay
EPI_ISL_457952,2020-03-21,Uruguay
EPI_ISL_447916,2020-01-29,Thailand
EPI_ISL_462283,2020-01-27,Singapore
EPI_ISL_451319,2020-01-27,China
EPI_ISL_455392,2020-03-17,China
EPI_ISL_437614,2020-02-25,Thailand
EPI_ISL_437608,2020-03-13,Thailand
EPI_ISL_454979,2020-03-18,China
EPI_ISL_413018,2020-02-06,South Korea
EPI_ISL_406031,2020-01-23,Taiwan
EPI_ISL_411951,2020-02-07,Sweden
EPI_ISL_437622,2020-01-23,Thailand
EPI_ISL_424352,2020-03-10,China
EPI_ISL_426629,2020-02-07,Taiwan
EPI_ISL_451299,2020-02-04,Italy
EPI_ISL_410546,2020-01-29,Italy
EPI_ISL_417486,2020-03-01,Norway
EPI_ISL_455452,2020-03-28,Poland
EPI_ISL_419241,2020-02-19,Hong Kong
EPI_ISL_420455,2020-03-04,Hong Kong
EPI_ISL_419250,2020-02-26,Hong Kong
EPI_ISL_419252,2020-02-26,Hong Kong
EPI_ISL_414569,2020-02-12,Hong Kong
EPI_ISL_412029,2020-01-30,Hong Kong
EPI_ISL_419249,2020-02-25,Hong Kong
EPI_ISL_417193,2020-02-09,Hong Kong
EPI_ISL_419221,2020-02-11,Hong Kong
EPI_ISL_414517,2020-02-25,Hong Kong
EPI_ISL_450405,2020-03-08,Hong Kong
EPI_ISL_419214,2020-02-10,Hong Kong
EPI_ISL_417187,2020-02-08,Hong Kong
EPI_ISL_417188,2020-02-08,Hong Kong
EPI_ISL_417179,2020-01-30,Hong Kong
EPI_ISL_447917,2020-01-29,Thailand
EPI_ISL_437624,2020-02-01,Thailand
EPI_ISL_416410,2020-01-24,Australia
EPI_ISL_406596,2020-01-23,France
EPI_ISL_406597,2020-01-23,France
EPI_ISL_466907,2020-05-04,Germany
EPI_ISL_411219,2020-01-28,France
EPI_ISL_410713,2020-01-27,Singapore
EPI_ISL_447915,2020-01-26,Thailand
